[9.36172531 0.4127776 ]
[0.63548987 0.9605729 ]
[1.80012208 0.8883167 ]
[0.82743371 0.94866431]
[0.94156248 0.94158352]
[1.34101317 0.91680077]
[0.55508096 0.96556164]
[1.57186454 0.90247827]
[0.03371997 0.99790795]
[0.02334462 0.99855166]
[0.01037544 0.99935629]
[0.52654877 0.96733183]
[0.3838878  0.97618281]
[0.30866656 0.98084969]
[0.56545631 0.96491793]
[0.01556312 0.99903444]
[0.31385424 0.98052784]
[0.12191038 0.99243643]
[0.44613986 0.97232057]
[0.80668303 0.94995172]
[0.09337819 0.99420663]
[2.03616112 0.87367235]
[0.44613986 0.97232057]
[1.49404948 0.90730608]
[0.12191038 0.99243643]
[4.20460783 0.73913743]
[0.1737871 0.9892179]
[1.00000008e-07 1.00000000e+00]
